Name,Date & Time ⏰,Tags,Length (Minutes),Guided,Real date
Fuzzies in the mind,"January 31, 2023 12:27 PM",Mindfulness of Breathing,33,,
Part 1 pre meal,"January 30, 2023 10:13 AM",Mindfulness of Breathing,12,,
Body body,"January 28, 2023 2:54 PM","Forehead / Third Eye, Stillness",25,,
Contemplating 2 decision,"January 27, 2023 3:55 PM","Body / Grounding Awareness, Contemplation",65,,
Please know,"January 25, 2023 1:14 PM",Mindfulness of Breathing,23,,
Pieces of the puzzle,"January 24, 2023 1:47 PM",Contemplation,16,,
Σ,"January 23, 2023 3:10 PM",Mindfulness of Breathing,17,,
Honor,"January 20, 2023 3:41 PM",Mindfulness of Breathing,15,,
Wish washy,"January 19, 2023 1:34 PM","Body / Grounding Awareness, Stillness",26,,
Pieces of the puzzle,"January 18, 2023 7:36 PM","Doing Nothing, Shadow / Trauma",34,,
Everything is going to be okay,"January 18, 2023 1:57 PM",Stillness,13,,
Still,"January 17, 2023 1:39 PM",Stillness,22,,
A messy mind,"January 16, 2023 10:57 AM",Body / Grounding Awareness,20,,
The way of water,"January 15, 2023 3:47 PM",Mindfulness of Breathing,25,,
WHAT IS LONELINESS?,"January 14, 2023 5:46 PM","Contemplation, Mindfulness of Breathing",52,,
Workout sit,"January 13, 2023 6:13 PM","Mindfulness of Breathing, Shadow / Trauma",49,,
Dayuuuum,"January 12, 2023 1:10 PM",,39,,
May all be well,"January 12, 2023 9:13 AM",Wim Hoff,12,,
Wim amazing,"January 11, 2023 8:29 PM",Wim Hoff,16,Yes,
Feeling the great rinsing of water,"January 11, 2023 12:06 PM",Ranged Awareness (MIDL 02/52),48,Partially,
Wim in Syracuse,"January 11, 2023 9:19 AM",Wim Hoff,15,Yes,
Many,"January 11, 2023 6:54 AM",,7,,
10 min rep,"January 10, 2023 10:51 PM",,,,
Pain body,"January 10, 2023 2:26 AM",,5,,
Unlocked Samadhi,"January 7, 2023 11:23 AM",Mindfulness of Breathing,29,,
"27 pain, resting in it","January 6, 2023 6:59 PM",,27,,
Θ,"January 6, 2023 8:17 AM",,8,,
This is it,"January 6, 2023 6:42 AM",Mindfulness of Breathing,12,,
Wacky mind,"January 5, 2023 6:51 PM",Mindfulness of Breathing,23,,
Relaxing,"January 5, 2023 8:28 AM",Wim Hoff,15,Yes,
Miles Morales,"January 4, 2023 6:58 PM",Doing Nothing,38,Yes,
Reworking Wim hof,"January 4, 2023 9:22 AM",Wim Hoff,15,Yes,
Anew,"January 3, 2023 8:22 PM",MIDL 03/52,24,Yes,
"Thinking is cool air, beautiful tears","January 3, 2023 9:13 AM",Wim Hoff,15,Yes,
New,"January 2, 2023 11:53 AM","Body / Grounding Awareness, Mindfulness of Breathing",12,,
A good start to 2023,"January 1, 2023 10:59 PM","Mindfulness of Breathing, Wim Hoff",35,Partially,
Metta for new year,"December 31, 2022 11:10 AM",Metta,35,Partially,
Bum bum boop,"December 30, 2022 4:02 PM",Mindfulness of Breathing,29,,
Colliding blocks,"December 30, 2022 1:10 PM",Mindfulness of Breathing,17,,
The amazing Spider-Man  2 - gradual heroic song,"December 29, 2022 3:42 PM",Mindfulness of Breathing,36,,
Checks!,"December 29, 2022 1:07 PM",Wim Hoff,15,,
"I don’t like this, and that is okay ❤️","December 27, 2022 7:39 PM",MIDL 03/52,39,Partially,
Relax in the coolness,"December 26, 2022 3:12 PM",Body / Grounding Awareness,14,,
To queens,"December 25, 2022 2:11 PM",,25,,
How does this suffering end?,"December 24, 2022 9:03 PM",,14,,
I know it’s fine,"December 24, 2022 11:03 AM",Wim Hoff,15,Yes,
morning wim hoff,"December 23, 2022 9:39 PM",Wim Hoff,11,Yes,"December 23, 2022 8:00 AM"
pain - understanding it,"December 23, 2022 9:22 PM","Mindfulness of Breathing, Pain",45,,
Late night cling,"December 23, 2022 1:09 AM",,12,,
Enjoyable being,"December 22, 2022 6:29 PM",,13,,
This is incredible happiness,"December 22, 2022 8:32 AM",Wim Hoff,15,,
2 WH,"December 20, 2022 11:41 PM",Wim Hoff,22,,
Beautiful followed breath,"December 20, 2022 7:21 PM","Body / Grounding Awareness, Thoughts / Attention Wandering",64,,
The hour of beginning,"December 19, 2022 8:48 PM","Body / Grounding Awareness, Thoughts / Attention Wandering",62,,
Sleepy Wim hoff,"December 18, 2022 1:12 AM",Wim Hoff,15,,
"The coolness of the awesome breath, like a tube","December 17, 2022 7:15 PM","Body / Grounding Awareness, Mindfulness of Breathing, Shadow / Trauma",34,,
Same as it always was,"December 16, 2022 7:03 PM",Body / Grounding Awareness,7,,
8,"December 15, 2022 2:57 PM",,8,,
"In the body, heal","December 14, 2022 2:29 PM",,26,,
Last barnes,"December 13, 2022 4:05 PM",,25,,
Here,"December 13, 2022 12:59 PM","Body / Grounding Awareness, Shadow / Trauma",23,,
Here,"December 12, 2022 1:05 PM",Wim Hoff,18,,
Enjoying the body,"December 11, 2022 3:05 PM",,15,,
Eye nothin,"December 10, 2022 3:11 PM",,23,,
Morning rush,"December 9, 2022 12:36 PM",,13,,
Wim hoff- it’s okay to think,"December 8, 2022 9:34 PM",Wim Hoff,15,Yes,
Rest here baby,"December 8, 2022 1:55 PM",,18,,
Post ds - it’s okay to sense sense blobs,"December 7, 2022 2:29 PM",Body / Grounding Awareness,9,,
THE MOST POWERFUL MIND IN THE GALAXY,"December 6, 2022 11:32 AM",Wim Hoff,16,Yes,
10 ds,"December 5, 2022 1:26 PM",,10,,
In the house,"December 4, 2022 9:00 PM",Body / Grounding Awareness,13,,
Inn Complete Retreat #3,"December 4, 2022 3:19 AM",,60,Partially,"December 3, 2022 9:00 AM"
We are groot - volume 3,"December 4, 2022 3:17 AM",Wim Hoff,25,Yes,
Barnes lot,"December 2, 2022 1:44 PM",Body / Grounding Awareness,16,,
Save,"December 1, 2022 5:40 PM",,6,,
Sleep wh,"November 30, 2022 8:21 PM",Wim Hoff,11,,
in DS,"November 30, 2022 1:09 PM",,9,,
REVITALIZATION,"November 29, 2022 11:13 PM",Wim Hoff,13,,
2 parts,"November 29, 2022 12:12 PM","Body / Grounding Awareness, Mantra",33,Partially,
Quick fix,"November 28, 2022 11:50 AM",Body / Grounding Awareness,6,,
This is the cure,"November 27, 2022 4:55 PM","Mantra, Thoughts / Attention Wandering",51,Yes,
Just sitting is enough,"November 25, 2022 3:54 PM",Body / Grounding Awareness,18,,
Mastery king term,"November 25, 2022 12:46 AM",Body / Grounding Awareness,19,,
Ohh baby,"November 24, 2022 3:07 PM",,11,,
"Real breathing ","November 23, 2022 3:47 PM",Mindfulness of Breathing,24,,
Reset,"November 23, 2022 1:37 PM",Wim Hoff,18,,
after planet,"November 22, 2022 4:31 PM","Body / Grounding Awareness, Mindfulness of Breathing",19,,
Here,"November 22, 2022 2:55 AM",Body / Grounding Awareness,14,,
Cracking,"November 21, 2022 8:54 PM",Body / Grounding Awareness,12,,
Hero,"November 20, 2022 11:30 PM","Body / Grounding Awareness, Shadow / Trauma",,,
messy,"November 18, 2022 2:10 PM",Body / Grounding Awareness,,,
Seeing this is it,"November 16, 2022 10:14 PM",Doing Nothing,15,,
Honda Syracuse,"November 16, 2022 4:01 PM",Mindfulness of Breathing,19,,"November 16, 2022 2:45 PM"
Cry wh,"November 15, 2022 4:57 PM",Wim Hoff,10,Yes,
Messy,"November 15, 2022 12:19 PM",,22,,
W,"November 14, 2022 7:36 PM",Wim Hoff,,Yes,
"Good determination ","November 13, 2022 7:24 PM",Mindfulness of Breathing,11,,
Bp,"November 12, 2022 12:53 PM",,12,,
May I be free,"November 11, 2022 10:57 PM",Wim Hoff,15,,
Clean,"November 10, 2022 6:50 PM",Wim Hoff,13,Yes,
Studying attention like an ice berg,"November 10, 2022 1:01 PM",Thoughts / Attention Wandering,20,Yes,
W h diving,"November 9, 2022 10:06 PM",Wim Hoff,13,Yes,
563 in,"November 9, 2022 1:08 PM",Thoughts / Attention Wandering,19,,
Barnes again,"November 8, 2022 3:50 PM",,14,,
Here,"November 8, 2022 12:50 PM",Body / Grounding Awareness,15,,
"before and after, find middle","November 7, 2022 11:18 AM",Thoughts / Attention Wandering,30,Yes,
Late,"November 6, 2022 9:50 PM",Body / Grounding Awareness,12,,
Midl : attention move 2,"November 6, 2022 12:38 PM",Thoughts / Attention Wandering,32,Yes,
"Standing ","November 5, 2022 5:35 PM",Standing Meditation,22,,
First normal morning sit in a while,"November 4, 2022 10:58 AM",,12,,
LIFE CONTEMPLATION,"November 3, 2022 7:47 PM",Contemplation,63,,
623,"November 3, 2022 2:24 PM",Body / Grounding Awareness,9,,
Kriya,"November 3, 2022 1:11 AM",Yoga,15,Yes,
Car,"November 2, 2022 2:48 PM",,7,,
Nite,"November 2, 2022 12:17 AM",,11,,
Barnes center,"November 2, 2022 12:17 AM",,20,,"November 1, 2022 3:30 PM"
Night,"October 31, 2022 9:54 PM",Shadow / Trauma,10,,
B & N,"October 30, 2022 6:03 PM",Body / Grounding Awareness,10,,
Fearless,"October 30, 2022 2:33 PM",Body / Grounding Awareness,16,Guided,
